                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64157,                0.57734,                0.94497,                0.59902,                0.56293,                0.56965,                 0.4602,                 1.0921,                 2.4635,                 1.2588,             0.00010229,             0.00010229,             0.00010229
                     36,                0.64122,                 0.5534,                0.94079,                0.58363,                0.54175,                0.55762,                0.44755,                 1.0748,                 2.4428,                 1.2549,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                0.63114,                0.54121,                0.93455,                0.59184,                0.53049,                0.55975,                 0.4472,                 1.1074,                 2.4842,                 1.2866,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                 0.6224,                0.52746,                0.93102,                0.63136,                0.49036,                0.54363,                0.43708,                 1.1124,                 2.5264,                 1.2965,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                0.61203,                 0.5118,                 0.9245,                0.57447,                0.54097,                0.56226,                0.45122,                 1.1039,                 2.5966,                 1.2774,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.60666,                0.51095,                0.92367,                0.62174,                0.53029,                0.55188,                0.44279,                 1.1103,                 2.5919,                 1.2931,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                 0.5327,                0.37715,                 0.8825,                0.56736,                0.53308,                0.54003,                 0.4312,                  1.122,                 2.5032,                 1.3111,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                 0.5115,                 0.3461,                0.87589,                0.60782,                0.55167,                0.57273,                0.45994,                 1.1103,                 2.4577,                 1.3057,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                0.51074,                0.33608,                0.87472,                0.60526,                0.51971,                0.54791,                0.43942,                 1.1248,                 2.6793,                 1.3076,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                0.48988,                0.31383,                0.86423,                0.56479,                0.53796,                0.55675,                0.44606,                 1.1104,                 2.5306,                 1.3033,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.49005,                0.32077,                0.86671,                0.55741,                0.53845,                0.55192,                0.44288,                  1.109,                 2.5947,                 1.3067,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.47919,                0.30719,                0.86166,                0.57572,                0.54405,                0.55318,                0.44267,                 1.1396,                 2.6689,                 1.3274,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.46998,                0.29686,                0.85609,                0.59259,                0.51913,                 0.5499,                0.44119,                 1.1103,                 2.6828,                 1.3039,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.46452,                0.28812,                0.85869,                0.60225,                0.53275,                0.55735,                0.44665,                 1.1011,                 2.6403,                 1.2968,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                0.45471,                 0.2848,                0.85299,                0.61544,                0.52657,                 0.5549,                0.44692,                 1.0925,                 2.6686,                   1.29,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                0.45454,                0.28003,                0.85088,                0.59171,                0.51703,                0.55356,                0.44577,                    1.1,                  2.669,                 1.2977,             9.3274e-06,             9.3274e-06,             9.3274e-06
